gsim.no,river,station,country,latitude,longitude,altitude,area,unit,year.start,year.end,year.no,list_grdc_,layer,path
NO_0000073,VOSSO,BULKEN,NO,60.630000000000003,6.280000000000000,"46","1102",m3/s,"1892","2015","124","6729200",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
NO_0000181,KLARA,NYBERGSUND,NO,61.259003999999997,12.322426999999999,"350","4410",m3/s,"1908","2007","100","6733570",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
NO_0000191,GLAMA,LANGNES,NO,59.609200000000001,11.118100000000000,"101","40540",m3/s,"1901","2013","113","6729400",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
SE_0000089,"MUONIOAELVEN, MUONIONJOKI",KALLIO 2,SE,67.224900000000005,23.543099999999999,NA,"14477.1",m3/s,"1911","2016","106","6232901",eu_gauges,/home/shevnina/DCW/EU_hydro/GRDC/eu_gauges.shp|layername=eu_gauges
RU_0000120,PECHORA,YAKSHA,RU,61.820000000000000,56.850000000000001,"118.95","9620",m3/s,"1936","2002","67","6970705",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000220,SOLZA,SUKHIE POROGY,RU,64.379999999999995,39.399999999999999,"77.41","1190",m3/s,"1936","2000","65","6970200",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000225,URA,URA-GUBA,RU,69.269999999999996,32.799999999999997,"1.38","1020",m3/s,"1935","1994","60","6971080",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000453,VIM,VESLYANA,RU,62.979999999999997,50.880000000000003,"80.93","19100",m3/s,"1936","2002","67","6970721",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000454,YEMTSA,MOST,RU,62.969999999999999,40.320000000000000,"66.62","1860",m3/s,"1928","2000","73","6970931",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000457,SULA,KOTKINA,RU,67.030000000000001,51.130000000000003,"8.04","8500",m3/s,"1936","2001","66","6970800",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000462,PONOY,KANEVKA,RU,67.129999999999995,37.659999999999997,"124.27","10200",m3/s,"1949","2003","55","6971451",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
RU_0000471,PINEGA,KULOGORY,RU,64.709999999999994,43.479999999999997,"13","36700",m3/s,"1936","1988","53","6970400",rus_gauges,/home/shevnina/DCW/EU_hydro/GRDC/rus_gauges.shp|layername=rus_gauges
